bin_index,std,mad
0,0.13704900443553925,0.0
1,0.23335900902748108,0.0
2,0.26915183663368225,0.0
3,0.26975786685943604,0.0
4,0.4858494699001312,0.5
5,0.46371158957481384,0.5
6,0.33691588044166565,0.0
7,0.2172088772058487,0.0
8,0.21865302324295044,0.0
9,0.21493680775165558,0.0
10,0.2845919728279114,0.0
11,0.43590080738067627,0.0
12,0.45454323291778564,0.0
13,0.4621213376522064,0.0
14,0.5280481576919556,0.6548236012458801
15,0.5282986760139465,0.6548236012458801
16,0.5139688849449158,0.6548236012458801
17,0.37457603216171265,0.0
18,0.37147390842437744,0.0
19,0.3888969421386719,0.0
20,0.26311248540878296,0.0
21,0.14894075691699982,0.0
22,0.1636585295200348,0.0
23,0.15887005627155304,0.0
