bin_index,std,mad
0,0.1110786497592926,0.0
1,0.1887260228395462,0.0
2,0.21669207513332367,0.1666666865348816
3,0.18103015422821045,0.1666666567325592
4,0.39590248465538025,0.1666666716337204
5,0.38406291604042053,0.1666666716337204
6,0.28432387113571167,0.1666666716337204
7,0.15878784656524658,0.0
8,0.17481663823127747,0.0
9,0.16009993851184845,0.0
10,0.2097465544939041,0.0
11,0.3245999813079834,0.2182745337486267
12,0.32811975479125977,0.2182745337486267
13,0.31269344687461853,0.21827450394630432
14,0.3741568624973297,0.2182745337486267
15,0.38864201307296753,0.2182745337486267
16,0.38895145058631897,0.2182745337486267
17,0.2703598737716675,0.21827451884746552
18,0.22881732881069183,0.2182745337486267
19,0.23859451711177826,0.2182745337486267
20,0.16739821434020996,0.0
21,0.09477739036083221,0.0
22,0.09595809876918793,0.0
23,0.08949317783117294,0.0
